sample_id,situation,dimension,prediction,first_person_reference,third_person_reference_count,bleu_first,bleu_third_mean,bleu_third_best,bleu_third_median,bleu_mean_uplift,bleu_best_uplift,rouge-1_first,rouge-1_third_mean,rouge-1_third_best,rouge-1_third_median,rouge-1_mean_uplift,rouge-1_best_uplift,rouge-2_first,rouge-2_third_mean,rouge-2_third_best,rouge-2_third_median,rouge-2_mean_uplift,rouge-2_best_uplift,rouge-l_first,rouge-l_third_mean,rouge-l_third_best,rouge-l_third_median,rouge-l_mean_uplift,rouge-l_best_uplift,bertscore_first,bertscore_third_mean,bertscore_third_best,bertscore_third_median,bertscore_mean_uplift,bertscore_best_uplift
648a30a2847ab1c5fa5785f8_20260309_203417_69af2ada,"I volunteer at a pony charity that helps young people with learning disabilities experience riding. Recently, someone cut the fences, and the ponies escaped. We managed to retrieve them, but they had puncture wounds and were clearly traumatized. Now, the ponies need time to rest and heal, which means the children are missing out on this valuable experience. We have to cover the vet bills and repair the fences, so we've all come together to help the ponies recover and fix the damage. It's really sad to see the ponies and the children affected like this, but I'm relieved it wasn't worse, like a car accident involving the loose ponies.",accountability,"The person who cut the fences was most responsible for all of this. Their actions directly led to the escape, injuries, and the subsequent need for repairs and care.",Person or persons unknown.,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0606060606060606,0.23426639810608144,0.4,0.18604651162790697,0.17366033750002083,0.3393939393939394,0.0,0.06791171477079797,0.21052631578947364,0.0,0.06791171477079797,0.21052631578947364,0.0606060606060606,0.18587921659833256,0.25000000000000006,0.18604651162790697,0.12527315599227196,0.18939393939393945,0.8382522463798523,0.8825742125511169,0.9047004580497742,0.8898999094963074,0.044321966171264604,0.06644821166992188
5c3cb9759883d4000141f800_20260305_223557_69aa00fc,"I was informed that a work colleague had passed away suddenly. I had been speaking to him just the other week and he seemed very well. Initially, I was shocked when I found out. It made me think of all the times we’d spent working together, and I felt sad. I felt a mixture of great memories but also a reminder that we shouldn’t take anything for granted; life is precious. I also had thoughts of his family and how they must be affected by this news.",congruence,"The situation hurt me by reminding me of the fragility of life and the sudden loss of someone I knew. It made me think about my own family and how they must be affected by this news, which added to my sadness.",It was shock more than anything else but focused on the good times we’d spent together at work and the laughs we had shared.,5,0.0,0.015965977981346142,0.0798298899067307,0.0,0.015965977981346142,0.0798298899067307,0.11940298507462685,0.25458306749443144,0.35294117647058826,0.23728813559322035,0.1351800824198046,0.2335381913959614,0.030769230769230767,0.07749424217718448,0.10526315789473682,0.07272727272727274,0.04672501140795371,0.07449392712550605,0.08955223880597014,0.19315168589814344,0.25882352941176473,0.20338983050847456,0.1035994470921733,0.1692712906057946,0.8528618812561035,0.8924131155014038,0.9062598347663879,0.8872050642967224,0.03955123424530027,0.053397953510284424
66a426bcd6c66d59e395617b_20260302_155945_69a5b18a,"A close family member, my cousin, passed away, and I was unable to attend the funeral because I was sick. I really wanted to be there, but my illness kept me from going. Not being able to attend made me feel guilty, like I should have gone anyways despite being sick, and I felt selfish for not being there.",certainty,"Things did not go as I expected because I was unable to attend the funeral due to being sick. I had hoped to be there to pay my respects and support my family, but my illness prevented that.",Things went as expected as they could have went.,5,0.0,0.0656255489326019,0.1885701897725203,0.0,0.0656255489326019,0.1885701897725203,0.12765957446808512,0.32404429348767894,0.48484848484848486,0.3333333333333333,0.1963847190195938,0.35718891038039974,0.0,0.12250892562193479,0.21875,0.10344827586206896,0.12250892562193479,0.21875,0.12765957446808512,0.2710810545408334,0.3939393939393939,0.26666666666666666,0.1434214800727483,0.2662798194713088,0.8513762950897217,0.8893961429595947,0.9098827242851257,0.9008377194404602,0.038019847869873,0.05850642919540405
66a426bcd6c66d59e395617b_20260302_155945_69a5b18a,"A close family member, my cousin, passed away, and I was unable to attend the funeral because I was sick. I really wanted to be there, but my illness kept me from going. Not being able to attend made me feel guilty, like I should have gone anyways despite being sick, and I felt selfish for not being there.",congruence,"The situation hurt me by making me feel guilty and selfish for not being able to attend. It left me feeling disconnected from the grieving process and unable to offer support in person, which I value deeply.",Thoughts of me not being there for her sometimes come up in my mind. I spent 3 days in bed mourning the loss but feel like if I went it wouldn't have been as hard to deal with.,5,0.0,0.014349260557980945,0.07174630278990472,0.0,0.014349260557980945,0.07174630278990472,0.2631578947368421,0.28089622749684673,0.35294117647058826,0.26666666666666666,0.017738332760004638,0.08978328173374617,0.02702702702702703,0.0934190768180916,0.163265306122449,0.08333333333333333,0.06639204979106457,0.13623827909542197,0.13157894736842105,0.20071092764591217,0.2745098039215686,0.2,0.06913198027749112,0.14293085655314755,0.8632331490516663,0.8999649405479431,0.9188395142555237,0.8980380892753601,0.03673179149627681,0.05560636520385742
5b51c33d026602000178b5ec_20260228_144002_69a2fa65,"My daughter was accepted back into high school this week after being homeschooled for approximately six months. We tried to get her into the school of her choice because she was missing the social aspect of friends and sports, and we finally received our offer this week. I was elated and nervous for her, with my emotions being up and down. It was definitely what she wants.",certainty,"Things went better than expected. We had tried to get her into the school of her choice, and while there were uncertainties, we finally received an offer this week, which was a positive surprise.",So far yes.,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10958988590810978,0.23076923076923078,0.10256410256410256,0.10958988590810978,0.23076923076923078,0.0,0.026810810810810815,0.08,0.0,0.026810810810810815,0.08,0.0,0.07800232453331436,0.11538461538461539,0.08695652173913045,0.07800232453331436,0.11538461538461539,0.8403059840202332,0.8765398502349854,0.8875744342803955,0.8771898150444031,0.03623386621475222,0.047268450260162354
6631dd70c1393b01137d8453_20260228_163013_69a31305,"I was informed that I had received a promotion at work, which meant I would be working my last week at the store I was currently at. I was trying to improve my standing in the organization with this promotion, and I needed positive reinforcement from my employees and peers. Overall, I felt positive about the promotion, but it was also bittersweet because I had grown close to a lot of the employees at my old location, and I will miss them. It was important to me to receive validation from my former employees that they enjoyed working with me and felt I did a good job.",accountability,"I felt that both myself and the organization were most responsible for this situation. My hard work and dedication led to the promotion, while the organization's decision to move me reflected their recognition of my contributions.","Myself, my employees, my peers, my supervisors.",5,0.0,0.0,0.0,0.0,0.0,0.0,0.13636363636363638,0.20141876430205952,0.3157894736842105,0.2,0.06505512793842314,0.17942583732057413,0.0,0.02823505323505323,0.05405405405405406,0.041666666666666664,0.02823505323505323,0.05405405405405406,0.13636363636363638,0.16297482837528604,0.21052631578947367,0.17391304347826086,0.02661119201164966,0.07416267942583729,0.8550297021865845,0.8855258464813233,0.910255491733551,0.8798864483833313,0.030496144294738792,0.05522578954696655
5a764e848fe2dc000105739c_20260301_143615_69a44b6b,"I met up with some old friends from my past at a beerex and spent the evening chatting about the past and what we are doing today. We all got something positive from the evening and decided we would like to repeat it the following year. I felt rather good because not only did we all enjoy ourselves, I felt particularly good knowing I contributed in the past to their being friends today. I also had my brother there and my best friend who also knew these people, and they also enjoyed the evening.",certainty,"Things went better than I expected. Not only did we all enjoy ourselves, but we also decided to repeat the gathering the following year, which was a positive surprise.",Originally we had to sit at a table near the live music but this was not conducive to conversation so we eventually moved to the quiet room and after that we converse with no loud music in the background.,5,0.0,0.0,0.0,0.0,0.0,0.0,0.2647058823529412,0.19956224350205198,0.28,0.18604651162790697,-0.0651436388508892,0.015294117647058847,0.0,0.06392276422764227,0.125,0.0625,0.06392276422764227,0.125,0.17647058823529413,0.18225991792065663,0.24000000000000002,0.17647058823529413,0.005789329685362499,0.06352941176470589,0.8647390604019165,0.8927587866783142,0.9162716865539551,0.8904248476028442,0.028019726276397705,0.051532626152038574
655fb104e3d55d460e274ddf_20260228_215919_69a362e2,"One of my roommates ate my food, and this time it was my entire box of Quaker oatmeal. I wanted to take that particular food to work because it's easy to just heat up and go. I was upset and ended up being hangry since I didn't have money to buy food. I have a lot of roommates, and I was frustrated because they could have just asked for some instead of stealing.",control,"I felt no control in this situation because I couldn't stop my roommate from taking my food, and I had no say in the matter once it happened. I was left to deal with the consequences.",No because they stole it likely when I wasn’t home so idk which one didn’t.,5,0.0,0.0,0.0,0.0,0.0,0.0,0.18518518518518517,0.2754841703383368,0.34782608695652173,0.3214285714285714,0.0902989851531516,0.16264090177133655,0.0,0.007407407407407407,0.037037037037037035,0.0,0.007407407407407407,0.037037037037037035,0.14814814814814817,0.17648367936782347,0.25,0.17391304347826086,0.028335531219675303,0.10185185185185183,0.8510547876358032,0.8781407594680786,0.9041515588760376,0.869495689868927,0.027085971832275346,0.053096771240234375
60e85190b9cffd8fed0a064f_20260306_144837_69aae582,"My dad has prostate cancer and recently had his yearly blood test. The results came back, and unfortunately, his condition had worsened. He was supposed to receive a phone call from his doctor on a specific day to discuss the results, but the call never came. I was really worried about what would happen next and was hoping for some clarity and communication from the doctor regarding my dad's condition. The situation left me feeling annoyed and still worrying, which could have been avoided if the doctor had called as planned. Since it's cancer, time is always crucial. The quicker they act, the better the chances of it being able to be helped.",accountability,"I felt that the doctor was most responsible for all of this. They were supposed to call with the results, but they didn't, leaving me and my dad in the dark about the situation.",I am not sure it might have been the Doctor or his office.,5,0.0,0.027960026913329394,0.13980013456664697,0.0,0.027960026913329394,0.13980013456664697,0.12500000000000003,0.2741301629700748,0.4545454545454545,0.34782608695652173,0.14913016297007478,0.3295454545454545,0.04347826086956522,0.09521645021645023,0.22727272727272727,0.06666666666666667,0.051738189346885004,0.18379446640316205,0.12500000000000003,0.1744234181020396,0.34782608695652173,0.1818181818181818,0.04942341810203957,0.2228260869565217,0.865384578704834,0.8914394617080689,0.9261812567710876,0.8845589756965637,0.026054883003234885,0.06079667806625366
62f18c2d37a5f255f351b61d_20260301_155946_69a45f74,"My father died, and it was a moment that brought up a lot of emotions for me. We had a very complicated relationship over the years, and I found myself wanting answers that nobody could really give me—not even him. Sometimes, I felt almost void of anything, and then there would be a rush of sadness or a rush of joy. What mattered most to me was that at the end of his life, I forgave him, and we had the relationship that we deserved.",control,"I did not feel in control during the initial moments of grief, as death is an uncontrollable event. However, over time, I felt more in control of how I processed the emotions and decided to forgive him. I could control my response and the narrative I created around our relationship in the end.","I was in control of me, for the most part. I was given a warm and loving home and raised by my mom's mom and her brother and sister.",5,0.0,0.01081092762299107,0.054054638114955346,0.0,0.01081092762299107,0.054054638114955346,0.21686746987951805,0.21827596432533447,0.2666666666666667,0.2558139534883721,0.0014084944458164217,0.04979919678714867,0.04938271604938272,0.05654491627094367,0.09230769230769231,0.060606060606060615,0.007162200221560951,0.04292497625830959,0.19277108433734938,0.18599324658707636,0.24,0.20895522388059704,-0.006777837750273019,0.04722891566265061,0.8570302128791809,0.8827657222747802,0.889344334602356,0.8835034370422363,0.02573550939559932,0.03231412172317505
