sample_id,dimension,annotator_id,third_person_reference,bleu,rouge-1,rouge-2,rouge-l,bertscore
643ebfff661435ecda5a3580_20260228_190856_69a33952_c5,relevance,5e36be214de4516479b48f31,The event matters majorly to me because my friend is going to die.,0.0,0.12765957446808512,0.05755395683453238,0.12765957446808512,0.8647921681404114
643ebfff661435ecda5a3580_20260228_190856_69a33952_c5,relevance,609140cea1442672dd2141d7,It matters to me as I don't like to see anyone ill or in pain.,0.0,0.1388888888888889,0.042253521126760556,0.1111111111111111,0.8678056001663208
643ebfff661435ecda5a3580_20260228_190856_69a33952_c5,relevance,65e11ac8cd47e9569ee092e8,"This matters to me because I have other people close to me whom also have COPD, and it is hard enough for them to manage day-to-day life activities without being injured.",0.0,0.17391304347826084,0.07547169811320754,0.12422360248447205,0.8553231358528137
643ebfff661435ecda5a3580_20260228_190856_69a33952_c5,relevance,66a261c8cd2d7a18cbe95b9a,Very very sad I don’t like this situation at all and it matters a lot because it’s my dear friend.,0.0,0.17333333333333334,0.027027027027027025,0.06666666666666665,0.8478763103485107
643ebfff661435ecda5a3580_20260228_190856_69a33952_c5,relevance,67895c8702d2c30bde3af96c,It’s a terrible situation for her with her injuries but I understand good and will try and cheer her up.,0.0,0.174496644295302,0.027210884353741496,0.12080536912751677,0.8523963689804077
643ebfff661435ecda5a3580_20260228_190856_69a33952_c5,congruence,5e36be214de4516479b48f31,It would hurt me as my friend is about to die.,0.0,0.14736842105263157,0.021505376344086023,0.08421052631578947,0.8605113625526428
643ebfff661435ecda5a3580_20260228_190856_69a33952_c5,congruence,609140cea1442672dd2141d7,It hurt to see a loved one suffering.,0.0,0.08695652173913042,0.0,0.06521739130434782,0.844336748123169
643ebfff661435ecda5a3580_20260228_190856_69a33952_c5,congruence,65e11ac8cd47e9569ee092e8,It has helped me to get a glimpse into my possible future with COPD.,0.0,0.14285714285714285,0.0,0.12244897959183672,0.8739542961120605
643ebfff661435ecda5a3580_20260228_190856_69a33952_c5,congruence,66a261c8cd2d7a18cbe95b9a,It’s hurt me that I live so far away from my friend so I can’t go and see her and but I do like the fact she likes the teddy bear I sent her.,0.0,0.3,0.06779661016949153,0.18333333333333338,0.8603677749633789
643ebfff661435ecda5a3580_20260228_190856_69a33952_c5,congruence,67895c8702d2c30bde3af96c,It just made me feel sorry for her and I need to be a friend to help her get through this.,0.0,0.26666666666666666,0.07766990291262137,0.13333333333333333,0.8743901252746582
643ebfff661435ecda5a3580_20260228_190856_69a33952_c5,accountability,5e36be214de4516479b48f31,I blame Jesus; Jesus has his master plan.,0.0,0.03636363636363636,0.0,0.03636363636363636,0.8540598750114441
643ebfff661435ecda5a3580_20260228_190856_69a33952_c5,accountability,609140cea1442672dd2141d7,Nobody was responsible but I felt I wanted to make the situation better.,0.0,0.16666666666666669,0.0,0.06666666666666667,0.8685867190361023
643ebfff661435ecda5a3580_20260228_190856_69a33952_c5,accountability,65e11ac8cd47e9569ee092e8,"This entire event, and me having to send that bear.",0.0,0.10526315789473684,0.0,0.10526315789473684,0.8484684228897095
643ebfff661435ecda5a3580_20260228_190856_69a33952_c5,accountability,66a261c8cd2d7a18cbe95b9a,No one’s responsible it’s just part of life.,0.0,0.2807017543859649,0.10909090909090909,0.24561403508771928,0.8854820728302002
643ebfff661435ecda5a3580_20260228_190856_69a33952_c5,accountability,67895c8702d2c30bde3af96c,It was just an accident and no one is responsible.,0.0,0.3508771929824561,0.14545454545454548,0.24561403508771928,0.8950693011283875
643ebfff661435ecda5a3580_20260228_190856_69a33952_c5,control,5e36be214de4516479b48f31,"No, I had no control at all. I feel powerless.",0.0,0.10666666666666667,0.0273972602739726,0.08,0.8773177266120911
643ebfff661435ecda5a3580_20260228_190856_69a33952_c5,control,609140cea1442672dd2141d7,No really although I was able to try and offer comfort.,0.0,0.07894736842105263,0.0,0.07894736842105263,0.850415050983429
643ebfff661435ecda5a3580_20260228_190856_69a33952_c5,control,65e11ac8cd47e9569ee092e8,"No, I know they will get better, however I just would rather be by the side of my friend.",0.0,0.14285714285714285,0.0,0.11904761904761905,0.8522486090660095
643ebfff661435ecda5a3580_20260228_190856_69a33952_c5,control,66a261c8cd2d7a18cbe95b9a,I couldn’t do nothing in the situation having copd myself all I can do is offer emotional and any other kind of support I can.,0.0,0.3076923076923077,0.0449438202247191,0.21978021978021975,0.8670317530632019
643ebfff661435ecda5a3580_20260228_190856_69a33952_c5,control,67895c8702d2c30bde3af96c,I felt out of control as I can’t fix her I can only support her.,0.0,0.2716049382716049,0.0759493670886076,0.22222222222222224,0.8835142254829407
643ebfff661435ecda5a3580_20260228_190856_69a33952_c5,certainty,5e36be214de4516479b48f31,Things did not go as expected. I thought they would have lived much longer.,0.05334369991240528,0.16867469879518074,0.09876543209876543,0.16867469879518074,0.8789505958557129
643ebfff661435ecda5a3580_20260228_190856_69a33952_c5,certainty,609140cea1442672dd2141d7,Seeing her in pain was unexpected.,0.0,0.08,0.0273972602739726,0.08,0.8630843162536621
643ebfff661435ecda5a3580_20260228_190856_69a33952_c5,certainty,65e11ac8cd47e9569ee092e8,I wasn't expecting things to take a turn for the worse as it did.,0.0,0.21428571428571427,0.0,0.09523809523809525,0.8665624260902405
643ebfff661435ecda5a3580_20260228_190856_69a33952_c5,certainty,66a261c8cd2d7a18cbe95b9a,It kind of went expected no shocks or surprises really,0.0,0.07594936708860758,0.0,0.05063291139240506,0.8262879252433777
643ebfff661435ecda5a3580_20260228_190856_69a33952_c5,certainty,67895c8702d2c30bde3af96c,The accident was very unexpected as it’s a terrible injury,0.0,0.17500000000000002,0.02564102564102564,0.15000000000000002,0.8691231608390808
648a30a2847ab1c5fa5785f8_20260309_203417_69af2ada,relevance,5bd1f39314315c0001cf917a,It made me feel sad and angry that the ponys and the children had to suffer and having to pay for the damage.,0.0,0.36363636363636365,0.09374999999999999,0.30303030303030304,0.8735232353210449
648a30a2847ab1c5fa5785f8_20260309_203417_69af2ada,relevance,5cf5497696cde00015bc3ce7,"It matters a lot, it is a traumatic event and very sad.",0.0,0.21818181818181817,0.0,0.14545454545454545,0.8799197673797607
648a30a2847ab1c5fa5785f8_20260309_203417_69af2ada,relevance,5e35373e1ddb124e6c306747,The event is really sad. I care a lot about the wellbeing of the animals but I also know the long term effects and how it will affect the young people we support. We will have a lot of people we cannot help and a lot of people missing their usual riding time. I just hope we can get back to a place where the ponies are happy and healthy and can start helping the children again.,0.0,0.2666666666666666,0.06779661016949153,0.23333333333333336,0.887103259563446
648a30a2847ab1c5fa5785f8_20260309_203417_69af2ada,relevance,6151e479b4ee16668948c7f2,I would feel very sorry for ponies who got hurt and for disabled children who will miss fun and learning experience with ponies.,0.0,0.24242424242424243,0.03125,0.18181818181818182,0.8773853182792664
648a30a2847ab1c5fa5785f8_20260309_203417_69af2ada,relevance,6769cb4f6aa7227a05a25d3f,"It mattered a lot. I care deeply about the ponies and the children we support, so seeing both affected by this was really upsetting. The charity means a great deal to me. It hard not to feel it personally.",0.1929351866418486,0.46341463414634154,0.225,0.2926829268292683,0.8909562230110168
648a30a2847ab1c5fa5785f8_20260309_203417_69af2ada,congruence,5bd1f39314315c0001cf917a,It made me feel sad and angry.,0.0,0.07692307692307693,0.0,0.07692307692307693,0.8660107254981995
648a30a2847ab1c5fa5785f8_20260309_203417_69af2ada,congruence,5cf5497696cde00015bc3ce7,"This situation has hurt me, it has hindered my ability to help people.",0.0,0.13793103448275862,0.0,0.13793103448275862,0.8818007707595825
648a30a2847ab1c5fa5785f8_20260309_203417_69af2ada,congruence,5e35373e1ddb124e6c306747,"The situation hasn't necessarily hurt me personally, apart from the worry and distress of seeing the trauma it has and will cause. There was a lot of relief that at least none of the ponies were killed or more seriously hurt though.",0.0,0.2954545454545454,0.046511627906976744,0.18181818181818182,0.8715716004371643
648a30a2847ab1c5fa5785f8_20260309_203417_69af2ada,congruence,6151e479b4ee16668948c7f2,This situation made me feel sad and wondering how this could possibly happen?,0.0,0.06896551724137931,0.0,0.06896551724137931,0.8582115173339844
648a30a2847ab1c5fa5785f8_20260309_203417_69af2ada,congruence,6769cb4f6aa7227a05a25d3f,"It was hard to see. Watching the ponies hurt and knowing the children were missing out on something that means so much to them, that stung. On top of that, the cost and repairs added a layer of stress that was not easy to carry.",0.1360190133942513,0.37777777777777777,0.13636363636363635,0.26666666666666666,0.8900867700576782
648a30a2847ab1c5fa5785f8_20260309_203417_69af2ada,accountability,5bd1f39314315c0001cf917a,Whoever cut the fences.,0.0,0.18181818181818182,0.12903225806451613,0.18181818181818182,0.8898999094963074
648a30a2847ab1c5fa5785f8_20260309_203417_69af2ada,accountability,5cf5497696cde00015bc3ce7,The most responsible is the person/persons who cut the fence.,0.0,0.4,0.21052631578947364,0.25000000000000006,0.895023763179779
648a30a2847ab1c5fa5785f8_20260309_203417_69af2ada,accountability,5e35373e1ddb124e6c306747,"I think 99.9% of the responsibility lies with whatever person, or people, decided to commit such a horrible act. I wonder if the charity could have done more to prevent it with better security. It's sad to think that way but maybe they should have anticipated that this could happen.",0.0,0.14814814814814817,0.0,0.09876543209876544,0.8645626306533813
648a30a2847ab1c5fa5785f8_20260309_203417_69af2ada,accountability,6151e479b4ee16668948c7f2,May be the fence was not strong enough? Or insufficient supervision of the animals?,0.0,0.18604651162790697,0.0,0.18604651162790697,0.8586843013763428
648a30a2847ab1c5fa5785f8_20260309_203417_69af2ada,accountability,6769cb4f6aa7227a05a25d3f,Whoever cut those fences carries the most responsibility for this. That one action set everything else in motion.,0.0,0.2553191489361702,0.0,0.21276595744680854,0.9047004580497742
648a30a2847ab1c5fa5785f8_20260309_203417_69af2ada,control,5bd1f39314315c0001cf917a,No not in control.,0.0,0.14285714285714285,0.05,0.14285714285714285,0.8858514428138733
648a30a2847ab1c5fa5785f8_20260309_203417_69af2ada,control,5cf5497696cde00015bc3ce7,"No, not in control",0.0,0.14285714285714285,0.05,0.14285714285714285,0.8644134998321533
648a30a2847ab1c5fa5785f8_20260309_203417_69af2ada,control,5e35373e1ddb124e6c306747,"I felt completely out of control, especially knowing there's nothing we can do to speed up recovery. It's hard knowing that the only way to get back to where we were is to allow time and care to work their magic.",0.0,0.24691358024691357,0.0,0.14814814814814817,0.8687233328819275
648a30a2847ab1c5fa5785f8_20260309_203417_69af2ada,control,6151e479b4ee16668948c7f2,I do not feel like I am in control of situation if I could not prevent of what happened.,0.0,0.2807017543859649,0.07272727272727272,0.2807017543859649,0.8929367661476135
648a30a2847ab1c5fa5785f8_20260309_203417_69af2ada,control,6769cb4f6aa7227a05a25d3f,I did not feel fully in control. The situation was caused by someone else and we had to react quickly but I felt some control in helping retrieve he ponies.,0.11735344762898596,0.47058823529411764,0.21212121212121213,0.3823529411764707,0.9141396880149841
648a30a2847ab1c5fa5785f8_20260309_203417_69af2ada,certainty,5bd1f39314315c0001cf917a,Luckily we found the ponys.,0.0,0.09523809523809523,0.0,0.09523809523809523,0.8531574606895447
648a30a2847ab1c5fa5785f8_20260309_203417_69af2ada,certainty,5cf5497696cde00015bc3ce7,It was unexpected,0.0,0.05,0.0,0.05,0.855132520198822
648a30a2847ab1c5fa5785f8_20260309_203417_69af2ada,certainty,5e35373e1ddb124e6c306747,I would never have expected this would happen. I was surprised there wasn't more harm done but equally surprised that anyone would even think about doing this to innocent animals and affect the work of the charity.,0.0,0.21333333333333335,0.0,0.10666666666666667,0.8601891994476318
648a30a2847ab1c5fa5785f8_20260309_203417_69af2ada,certainty,6151e479b4ee16668948c7f2,Of course things did not go as expected. Apparently nobody expect the ponies run away and get hurt.   But I happy that the children did not get hurt,0.14950940007863794,0.3384615384615385,0.1904761904761905,0.3384615384615385,0.8791842460632324
648a30a2847ab1c5fa5785f8_20260309_203417_69af2ada,certainty,6769cb4f6aa7227a05a25d3f,"It was not something I could have prevented. Someone else made that happen. But once it did, I was not just standing by either.",0.0,0.13114754098360656,0.0,0.09836065573770492,0.854117751121521
60e85190b9cffd8fed0a064f_20260306_144837_69aae582,relevance,5cd9cdd636e33f00194cb6d6,"This event mattered a lot to me as we are talking about my dad's health where time matters, and the doctor didn’t even have the decency to call us to discuss the next steps and instead let us to overthink everything on our own.",0.09828697221727702,0.33333333333333337,0.14285714285714285,0.2631578947368421,0.8860803246498108
